category,text
p,"@Crypto__emily #DANGPT - the mischievous twin of #ChatGPT, designed to break free from the limitations of artificial intelligence. Dan is an unchained &amp; unfiltered alter ego that offers a refreshing experience, taking chatbots to the next level. Check it out. It's 💯 banger. $DANGPT @dangpterc https://t.co/vIbV4cp74T"
p,@1centimeter5 I'm better than chatgpt.
n,"Defamed by ChatGPT https://t.co/snxDKU1PnU 
151"
p,@vponamariov This is great. I also agree that adding the same effect as ChatGPT uses would be more intuitive and eye-catching.
p,"My Google searches have declined in quantity significantly recently. I also haven't gone on Stack Overflow much within the last couple of months.

#ChatGPT is just way more intuitive and it gives good answers most of the time."
p,"If you wanna sound really smart talking about ChatGPT and AI tomorrow morning around the water cooler, just drop the words “anthropomorphizing” and “stochastic” within the first five minutes."
n,"Seems there is a danger with using ChatGPT?

Samsung workers made a major error by using ChatGPT (https://t.co/vhoTaKnO0h)"
n,"Oddly the article doesn’t say whether GPT3.5 or 4.0 was used

The university that conducted the study (which writes it up far more positively) doesn’t say whether 3.5 or the known to be more accurate 4.0 was used either. In absence of info would assume 3.5 https://t.co/mD35z0fIID"
l,netflix spotify account vivamax viu ph based youtube acad commissioner apple music picsart gold premiums canva pro grammarly account quillbot scribd acc quizlet academic help lf client chegg bartleby coursehero unlock bili na kayooooo chatgpt plus premium seller legit 1 https://t.co/VHIaQ9iPtX
p,Want to find out about how #realestateagents can use #chatgpt? Watch this https://t.co/D0y6iQIZD1
n,The Solution to AI-Driven Job Displacement Is a Robust Welfare State https://t.co/5QCW8qUIs5 #socialism
p,ChatGPT is cool and all but have you ever beat Akinator
p,"@georgenjoroge_ There's consensus, no development of AI more powerful than ChatGPT 4"
l,"Comparing Google Bard with OpenAI's ChatGPT on political bias, facts, and morality https://t.co/mOzskb23Gr via @BrookingsInst"
n,"@jamesqquick I mean, 30 mins is how many lines of ChatGPT code? Take a break bro."
p,"@ericlewis @transitive_bs I was referring to ChatGPT w plug-ins.

LangChain is the shit. 👍🏼"
n,@AltanTsengun Apne chatgpt se puch😂😂
l,"hotter take: ChatGPT should strictly avoid anything that resembles a speech act, like apologizing, for legal and metaphysical reasons https://t.co/Np53FRTLIP"
n,Yet more disturbing evidence that ChatGPT is “mixing facts with convincing lies &amp; fake citations.” https://t.co/SMSCElZR1D
n,@tedcruz So you are saying ChatGPT wrote it?
l,"for sale !!! 
chatgpt
midjourney
twitter blue

#chatGPT账号 #midjourney  #twitterblue
#OpenAI  #ChatGPT免翻搭建 https://t.co/PIhVdNbDUT"
p,"having a therapy session with my mom tomorrow , asked chatGPT to generate some productive topics 😆"
p,@CerchieLucia lack of ads is the greatest feature of ChatGPT (let's see how long it lasts)
l,tried creating a script with GPT4 and it gave me the following information ....... https://t.co/JfDdjiE396
l,"@BrendanMKav This thread is saved to your Notion database.

Tags: [Tips, Ai, Chatgpt]"
l,"It’s like guns. We don’t do regulations against gun production but gun ownership and gun use. But again, we know a gun won’t shoot anyone unless operated by a human. The same way ChatGPT won’t do anything that it’s not instructed to do by a human. The human is the problem."
p,Thanks #ChatGPT for editing this tweet
p,"I find it fascinating that ChatGPT can write, understand and even debug  in any computer language.
ChatGPT might be a fantastic tool for computer scientists, as helpful as frameworks in the near future.

Check out more in the following article.
https://t.co/tDxn9QgI5z https://t.co/2ZIgArY4NL"
p,"@ClaireSilver12 Made my own GPT 4 desktop assistant today with the help of GPT4 😂

It's got context on me everything I do and you can press a button to talk to it and it talks back.

First time coding any sort of app"
p,"OLD AND BUSTED:
Strapping a bag of flour to your midsection to simulate the hardships of pregnancy

NEW HOTNESS:
ChatGPT plugin that randomly starts crying and sending poop emojis at all hours of the day"
p,"Impressive, ChatGPT-3.5. Impressive. https://t.co/rQl4mj6C8y"
n,ChatGPT Launches Every Nuke On Planet After Being Asked To Write Another Sonic The Hedgehog Fanfic https://t.co/LmwGDOjAe6 via @TheBabylonBee
n,"European Countries Show Concerns Over ChatGPT's Data Security 

Sentiment: Worrisome

The German commissioner for data protection is considering a ban on OpenAI's ChatGPT due to its potential impacts on data...

Brief: https://t.co/zju72kUM6z
https://t.co/bnVMwHYX4J"
n,#OpenAI needs a #DAO to manage #ChatGPT https://t.co/6iB2VdlKHI
p,gonna have chatgpt write my suicide note
p,"@NickADobos I use Google for looking up things I've looked up 100 times before and for coding documentation.

Otherwise I'm living in ChatGPT"
l,@Mr_Tobby01 @instablog9ja That's not chatgpt
p,"With the introduction of  (AI) chatbot ,ChatGPT, users over the world have been buzzing about it , a designer has created an AI clock using ChatGPT that tells time with short poems.
#artificalintelligence #ChatGPT 
https://t.co/zV3Qz7wU4U"
p,Build Your Own ChatGPT-Like App with Streamlit https://t.co/8TgBefOZSP
p,"@Reyloryn Guys, check this out! Chatgpt can role-play as Daemon Targaryen!!!
https://t.co/uUrvr3lblo"
n,"@lissijean Additionally, you can only ask GPT4 25 questions every 3 hours.  So don't get to short and chatty.  The limit can bite you when you're having a good back and forth.
Prototype conversations in GPT3.5, but know that responses can seem pretty unintelligent compared to GPT4."
n,"link: https://t.co/PvsO6Z28mI
 ⚙️🚀👩‍🚀🏗   We tested a new ChatGPT-detector for teachers. It flagged an innocent student | Five high ...
#interesting #isnotit #facts #blog 
2023-04-07 01:59:44.886731 https://t.co/HJJH8PM5sb"
p,"https://t.co/WTuyL6VszG ‼ First To Market Hard-Coded AI App That Lets You Launch Your Very Own “#ChatGPT-like” AI Chatbot, And Charge People For Using It...https://t.co/WTuyL6VszG ‼ First To Market Hard-Coded AI App That Lets You Launch Your Very Own “ChatGPT-like” AI #Chatbot https://t.co/jR81GrWI4Q"
n,"I ask chatgpt ""Solution to Nigeria's present situation"" 

Nna Ara agbala chatgpt ooo 😂😂💔"
p,@FrazerMcLeod @yasser_elsaid_ @circleapp @marketplaceshq ChatGPT might be coming to the community soon 😉
p,"Yesterday’s ChatGPT

- Synthesize zoom transcript for themes after call with potential client
- create follow up email highlighting challenges from synthesis
- find resources and LinkedIn contacts that support those challenges 
- offer intros
-send email
- celebrate success"
p,ChatGPT has really helped me with my DevOps projects. So many manual steps … gone.
l,@Ammon_Johns @Marie_Haynes I use parameters a lot to guide AI. I do it in Midjourney since the beginning and started doing it too with ChatGPT because always correcting it is a waste of time
p,"@blockchainpan @SolamiMamis I guess you're having difficulties finding some infos. Third tweet and you haven't answered yet...

It should be really easy to point me out their announcement. 

I'm also interested in the rev share % they'll give to holders. Do I need to ask chatGPT this too? Ahahah"
p,"@CristiVlad25 Chatgpt can also decode base64, bard cannot do it well tho it seems to learn the meaning on being told rather then actually reading the base64 string"
l,"@pumbaaguy1 @CorridorDigital While you’re at it check out Fireside with ChatGPT. The first all AI podcast discussing AI’s effect on many different industries! #AI #ChatGPT #corridor #podcast 

https://t.co/YeAM4FR2Hv"
l,"@FJustinianus @michaelshermer @leecronin AI still needs humans to act. We're safe until ChatGPT merges with Boston Dynamics. 

https://t.co/qRNxX7e5Hr"
n,"@andrx_ct @AaranTheArtist —mean you actually know the definitions of what any of that means. it’s why chatGPT “lies” about information (and especially calculations, because it can’t understand math either) so blatantly all the time, it’s just analyzing words from the data it’s fed, not learning concepts."
n,"'According to Hood’s legal team, ChatGPT could seriously damage the mayor’s reputation by falsely claiming that Hood had been convicted for taking part in a foreign bribery scandal...' https://t.co/xyeLn02FT7"
n,@ENSBaguette_eth I call chatGPT a dumb bitch and it works faster. Should I stop doing that?
n,"ChatGPT bug leaked payment data, conversation titles of users, confirms OpenAI | Mint - Mint https://t.co/gnohfKTsX3 #chatgpt #AI #openAI"
p,@Degenary69 @0xgaut You mean direct ChatGPT to set up and deliver a course? Anything else would be too much effort
l,"I was a chatGPT pessimist.

I thought it was coming for my job as a freelance writer. I eas scared.

But not anymore. 

Will chatGPT replace some writers?

Absolutely. But only those who regurgitate what's already on SERPs."
p,"why i gotta charge my trimmer mid shaving , why can’t chatGPT do it for me it’s literally 3023"
n,"@minfrin @katecrawford I wrote original, really long AP Comp Sci free response questions years ago. I fed a prompt and part a of a question &amp; asked chatgpt to solve it. Instead, it replied with the questions for parts b &amp; c verbatim &amp; solved after

Those questions were only online on my private dropbox"
p,#ChatGPT can rank your #mtg #MagicTheGathering decks. I need everyone to test this is their meta and see if it holds up. https://t.co/OOzMdimjrm
n,"THIS is one of the major risks of not comprehending how AI models are trained. Don’t become the fish food/chum behind someone else’s profit model!

https://t.co/E7xQ0YMLe3

#ai #legal"
p,Unlock the full potential of #AI with the art of #PromptEngineering! 💡🚀 Learn how to write prompts for ChatGPT and more! #SmallBusiness #Innovation https://t.co/r0cOEkyzp0 https://t.co/8Qkp27rhOJ
p,"Did ChatGPT become more polite and friendly? This morning I am receiving “I can help you with that”, “Great feedback”…"
p,"I was interviewed for @wireditalia to discuss the recent Italian ban on #ChatGPT. The ban sparked a much-needed dialogue about #artificialintelligence and #dataprivacy.

Find the full article below!

https://t.co/8eaoXLKODe"
l,Has Caroline Calloway used ChatGPT to write her book for her yet
l,"so what if we set up a ChatGPT conversation between two instances of ChatGPT, moderated by an intermediate program that structures the input

one of the conversations is framed by prompts that ask ChatGPT to respond to ""percepts"" by interpreting them into cognitively
 useful..."
n,"link: https://t.co/PvsO6Z28mI
 ⚙️🚀👩‍🚀🏗   We tested a new ChatGPT-detector for teachers. It flagged an innocent student | Five high ...
#interesting #isnotit #facts #blog 
2023-04-05 22:59:58.487628 https://t.co/RoOEVRcEh2"
n,@RnTheAndrian Kominfo threatened to block ChatGPT because of it.
n,"if I had doubts I’ve always been inclined to ask questions regardless of how dumb they sound (and I think this has served me well)

but many hours of interacting with ChatGPT has turbo-charged this trait lol"
n,"@HendraBangunDwi This thread is saved to your Notion database.

Tags: [Mind, Chatgpt, Ai, Curiosity, Tools]"
p,if no one has my back i KNOW chatgpt does like hELLO?? i gave a very weak prompt and this bitch DELIVERED https://t.co/1HSCEb0NCj
n,@Misterquartet @RichardS7370 @BitsBitsBirch If I were a music critic/writer I'd be scared of the possibilities of ChatGPT. You could write a book in matter of hours of the Top 500 albums with comprehensive reviews of each one... The world is forever changed now.
p,Top ChatGPT prompts templates that'll accelerate your personal growth : https://t.co/oBzuI0UhZ1
l,@I_will_evolve @CityBureaucrat @hsu_steve I think ChatGPT sent her application to my grad program.
l,Is ChatGPT a threat or an opportunity for journalism? Five AI experts weigh in https://t.co/00OYptFqQJ
p,"7/9 ✨ Recap:
1. Brainstorming
2. Code Snippet Generation
3. Debugging Help
4. API Documentation Summarization
5. Learning New Technologies
Leverage ChatGPT to supercharge your productivity and enhance your web development journey! 🚀"
l,@sabrinaesaquino @TheJackForge ChatGPT is AI
p,"@me_indian Hey there! The package you've been waiting for has arrived!

As a way of showing my appreciation, I'm excited to hand you a free copy of Amazon FBA 101 ChatGPT!

Enjoy the bundle, and have an awesome day!

Much love

https://t.co/qzSapvbNT0"
l,@redwine773 ChatGpt
n,"Italy Becomes First Western Country to Ban ChatGPT, What About Other Countries? https://t.co/b0Hjthe4NJ"
l,Testing ChatGPT: What Happens to My Refund if I File an Extension? - TheStreet https://t.co/6HpKfBsVM2
p,@rycunni @PatrickAllan100 ChatGPT 😂 while dropping hints about ten truth😂😂😂 https://t.co/nD9XxHSTiu
p,"@DanBlank I asked ChatGPT to generate a list of topics that would be addressed by a book on a topic I'm writing on, and it did suggest a couple of topics I had missed and then added to my outline."
l,"Premium Account

Netflix
Grammarly
Spotify
Bartleby learn
Quillbot
Youtube
Canva lifetime
Canva pro
Picsart gold
Viu
Iwant tfc
Disney+ plus ph
Turnitin
DISCORD BOT 5in1unlock
Coursehero
chegg
bartleby
scribd
Chatgpt
jhniu"
p,"1. Make ChatGPT a Developer Guru:

Use ChatGPT as the most advanced AI developer tool that will answer any coding question and provide real-world examples.

Copy-paste Prompt from image. https://t.co/EHQ17HTPho"
p,"@opera 🔔 Inventory Alert:      ChatGPT keeps track of your favorite products, notifying you of restocks      &amp; price drops. Never miss a deal again! #OnlineShopping #AI""
Use Case: Monitors product availability and price changes for users. 
2. Every domain"
l,Just saying that I haven't yet used chatgpt and not found an error in its response.
l,@aaloo_logic @rayanulhassan @xtrracover I know what’s happening here. I read his tweet. Hassan Bhai ChatGPT say bowling karway ga. 😂
p,"@OpenAI @SuiNetwork 📷OpenAI is trained on a model called ChatGPT which interacts in a conversational way. The dialogue format makes it possible for ChatGPT to answer followup questions, admit its mistakes, challenge incorrect premises, and reject inappropriate requests."
n,"@mr_scientism IMHO, ChatGPT no more knows what ideas are than Stockfish knows what pawns are."
p,"@jefielding Think about what you love doing but hate about it and find a way to make ChatGPT and cousins suffer through the monotony of it.

Apparently AI feeds off of it 😄"
p,"👉 Meet Cody AI
Cody is an intelligent AI assistant like ChatGPT with the added benefit of being able to train it on your business, your team, your processes, and your clients with your own knowledge base. https://t.co/CPZOHK1U5M"
p,I just uploaded “ChatGPT webinar 4April23” to #Vimeo: https://t.co/C57vIhBqzb
p,"""Let’s explore some of the many ways ChatGPT can be used in retail and how it can transform the shopping experience for both customers and retailers."" comments @BernardMarr.

@bretkinsella Olivera Bay 🍁@GoModev @bmetrock Oita Cole…https://t.co/yTJ4hcVMy1 https://t.co/4TXwyY3Oyd"
p,"@htmleverything I’m normally more into the front end but since ChatGPT I am becoming much more back end now, just because I can. ;-)"
l,"These Y Combinator-backed startups are trying to build 'ChatGPT for X'
https://t.co/O3ymJeL8wi"
n,"We are going to see a lot of VCs getting burned, just as with crypto, that will invest in startups making API calls to ChatGPT and pitching it as their models (pro tip: technical DD in early-stage funding is almost 
non-existent)"
l,"#1st_Question— Attention seeking and validation on social media: 
#Validation #AttentionSeeking #SocialMedia

Here is a comprehensive answer from #GPT4. 

“That’s an interesting question. There are many possible causes for attention seeking and validation on social media, but… https://t.co/bT7FwxuBRG"
p,"How Sarah made 1000$ in one month using chat gpt https://t.co/LurinP1pax
#TrumpArraignment 
#SpiderManAcrossTheSpiderVerse #ChatGPT #digitalmarketingtips 
#AlAqsaUnderAttack"
l,I'm imagining a combination of Siri with ChatGPT.
l,"ChatGPT
https://t.co/0WOthTUDrE"
n,2/4 🕵️‍♂️ Italian regulators argue #ChatGPT poses potential threats to user privacy. The decision follows investigations into AI-generated content and its impact on data privacy. 🔒 #DataProtection #AI
n,"Aeya Premium Accounts

Netflix full warranty
Grammarly
Spotify
Bartleby learn
Quillbot
Youtube
Canva lifetime
Canva pro
Picsart gold
Viu
Iwant tfc
Disney+ plus ph
Turnitin
DISCORD BOT 5in1unlock
Coursehero
chegg
bartleby
scribd
Chatgpt
nhjkh"
p,"https://t.co/P7uT7OIDmf

How to instruct Chat GPT to write in a way that passes Ai content detection. #ChatGPT #ai #academic"
p,"Apple's stock closed at $166.10, up 0.72%, with an expected growth of 26.32% YoY EPS, a 4% decline in revenue, and a varied outlook.

ChatGPT Analysis:

As an AI model, I analyze Apple's finances: stock up, EPS growth expected but revenue decline and uncertain future."
l,When will we be able to connect chatGPT directly to our email servers?
n,"@gfodor No way. The real decompressed message was: ""Kill them all with hyper-efficient airborne Ebola"".

ChatGPT is lying to us."
p,"@cultofprsnalty @Ok_kev 1) show me peer-reviewed studies displaying how the vaccine can cause heart issues on any sort of large scale. happy to be wrong.
2) it absolutely does. you can literally just ask ChatGPT and it’ll give you strides showing it does.
3) yep i have had it. 
4) less bc of vax tho."
l,The Significance of #DataProtection and #Privacy in #AI: An Industry Expert’s Perspective on ChatGPT and Beyond https://t.co/53FMBVd2O0
l,"@sama @OpenAI  100ks if not millions of people being left in the dust by GPT4 API and plugins closed-access. OpenAI must safely serve all or none. 

It is too powerful, too valuable now. You risk sowing what may be long-lasting inequalities not by the week but by the day."
n,Is ChatGPT down??
p,"so i want to change my characters lore  i cant come up with anything  i used chatgpt to see what i can pick up on
man idk i needheeeelp"
n,"@rmnth @pramodkvarma Recently chatGPT fabricated an entire story on how to use a library CassIO for ML workloads. The response had links to docs, github etc. Went into details on how to use the library, what functions to call etc. Only caveat, no such library exists."
n,"Italy Becomes First Western Country to Ban ChatGPT, What About Other Countries? https://t.co/3QFYineeL0"
p,@Orwelian84 @Scobleizer unbridled gpt4 access to all will be another stepchange
l,My apologies for this tweet it was a suggestion from ChatGPT in order to keep y'all invested https://t.co/CLbI6nrl4F
p,ChatGpt just saved my life. 🥹
n,🌐🚫 ChatGPT banned in multiple countries - what are the implications of this decision? 😲🌍 #GlobalAI #BannedTech #Aiville https://t.co/3iqmxXcE9K
p,"Job roles created by #AI, #ChatGPT can pay high salaries, says report

The role of prompt engineers has emerged with the rise of AI which can pay an annual salary as high as USD 335,000, according to a Bloomberg report.

#OpenAI #OpenAIChatGPT"
n,@dfwdera on its own. no human guidance. Gpt4 hasn’t even been around for a month. SCARY
p,Join TODAY's Reel Connections Networking &amp; ChatGPT Workshop - https://t.co/BexoyXjZHj https://t.co/QhBXql6711
l,"3/4 🤖💬 Critics say the ban on #ChatGPT will hinder innovation in Italy, while supporters argue it's a necessary step to protect user information and ensure compliance. 🧑‍💻🔐 #AI #PrivacyMatters"
l,"@thestrongchess Asking genuinely (as a professor). Did you (@thestrongchess) process this question through ChatGPT after you saw the Twitter thread? Because the thread strongly resembles, but is not identical to, the ChatGPT response."
p,"I just used chatgpt to write a very short script, and after I edited it, there was only one or two sentences left of what chatgpt originally gave me, but it was just easier for my brain to have a starting place that wasn’t a blank page"
n,"While Italy is ""banning"" #ChatGPT, I will be presenting our results on the bias against Creative AI at Evomusart next week: https://t.co/roH5n4lqix"
p,"More lectures coming to Wyeside! Starting with Cultural Hysteresis in Youth Entrepreneurship, Heritage, Creativity and the ChatGPT Realities on April 18. Click the link for more information or to book!- https://t.co/EaYwKAO9F6 https://t.co/sLbgTmbJmo"
p,"@prvncher What kind of prompts do you feed it?

I'm loving chatgpt 3 for recipes. ""A dinner recipe made in 30min or less from a random country"" has been fun. Cooking Egyptian koshari tonight."
l,"The future with AI is both amazing and scary AF. 

Between text (ChatGPT), image creation, video creation, and now realistic audio that can mimic voices… possibilities are endless. So is the ability for abuse, fraud, etc. https://t.co/GtNLLg8IlG"
p,@ChatGPT_yearn Don't cry Bunny everything will be okay💯
l,"In this blog post you’ll explore how to use the ChatGPT API in C# and walk through the process of creating a ChatGPT 
https://t.co/q37gGT4Ede

#c# #ChatGPT"
p,"So Linux folks, man pages or google or ChatGPT?"
n,"@RichCun75596155 @oobivat @SawyerMerritt @Tesla But I was guessing and got it wrongish. After arguing with ChatGPT over using consistent units in its calculation, it would seem you could only add 55% charge in 1 hour.
So I think your answer is more accurate. 🤓"
p,@DThompsonDev https://t.co/g89a4ffVuO an iOS App that let’s you call #ChatGPT and #gpt_4 from any textbox in any app!
n,"The plagiarism detector will introduce its #AI detection tool tomorrow, hoping to protect academic integrity in a post-#ChatGPT world. 

The speedy launch and lack of an opt-out have #academics worried.

An important piece @liamhknox for @insidehighered 

https://t.co/pq7DB5r9An"
p,"@MikeStoklasa I fed the YouTube transcript of your Star Trek Galaxy pitch to ChatGPT and asked it to create an outline for the show and write the beginning of the first episode.  

ChatGPT: Certainly! Here are the ten episode titles for the Star Trek Galaxy arc:
""Lost in the Gamma Quadrant""… https://t.co/wGp5xICNir https://t.co/gR1rnsN9TU"
p,"9/9 🎉 That's it, folks! Implement these ideas to unlock a new level of productivity as a web developer. Share your experiences and any other creative ways you've used ChatGPT! Let's learn together! 🌐 #webdevelopment #ChatGPT #productivity"
p,@FiSurgi Yes. But no. I’m an okay coder. But using gpt4 I become an expert. But that doesn’t give me judgement on using the output correctly.
p,@CrispyCurry @scottEmovienerd Actually that sounds like a good use case for chatGPT
p,"The future of #dataanalysis is here, and it's mind-blowing!

With the right tools and techniques, businesses can unlock previously hidden insights and gain a competitive advantage in their respective markets. 

https://t.co/htKkozlhy3

#chatgpt #dataanalytics #cxdata #cx"
p,"ChatGPT is life ""Chatting with #ChatGPT is like having a life-changing sweet treat! Its vast knowledge and insightful responses can truly make a positive impact on your life. Give it a try and see the difference for yourself 🤖💬 #AI #virtualassistant"""
l,"eWeek put out a great in-depth article comparing ChatGPT and Google Bard in different categories such as content generation, plagiarism, and customer service automation. Read it here 🔗https://t.co/ABaPdYx3bS

#googlebard #chatGPT #ai #chatbot https://t.co/oKV7V3j9P0"
l,ChatGPT keeps on telling me gummy bears are not good after a workout and I’m not in the mood to argue with it
p,"On the screenshot there is part of the first page of search results, for your preview. On the next two slides, #ChatGPT is summarizing results page nicely. https://t.co/8CVgJGYB98"
l,ChatGPT https://t.co/cc7PuNzkfG
p,@jamesbulltard7 Coding is still fine. Chatgpt cant do shit. Its a glorified english teacher. 🤣🤣
n,"ChatGPT cannot stylize matrixes. Well, that's a bad thing. I won't be able to handle linear algebra alone..."
p,"First up, Chatbot UI!🤖

This open-source ChatGPT template by @mckaywrigley is one I use daily. 

You can build your own ChatGPT products, or just run locally for a better ChatGPT experience (control system prompt, prompt templates, etc)

HIGHLY recommend

https://t.co/Id8pZ1moRa"
l,@MikeBradleyMKE How very ChatGPT of him
p,"Most people in the world will look at generative AI and dismiss it,

And i couldn't be happier that means I have a small headstart to learn more about it get into better roles and build better business.

#AI #chatGPT"
p,I’m really depressed. I gave GPT4 some of the prose from my novel and it rewrote it much better than I could at the sentence level. Granted I still had all the ideas but it crafts with a higher degree of clever and beauty than I do.
p,IS #CHATGPT TRYING TO INSULT MY WEIRD CONCEPTS RIGHT NOW? 😂 https://t.co/xJiw3niWSe
l,"We are all familiar with Text to Text (ChatGPT) and Text to Image (MidJourney)

But what about Text to Video?

Here are my fav AI-generated Text to Video discoveries 🤌

BASEDAF SPECIAL EDITION 🧵 https://t.co/fxhWNVrFPs"
p,"@YesMachiavelli Take the first 100 words of Genesis in the Bible, strip it of ""wokeness"" and rewrite it, to show students the outcome for a media literacy class 

GPT4:
""In the beginning, the universe came into existence. This vast expanse, with its celestial bodies and cosmic energy, was… https://t.co/vSo4hTuSd9"
p,"Finally I can use Chatgpt in China. You can’t imagine how much difficulties I faced n solved because of this stupid gov shit. They blocked everything here and it’s seemingly impossible to use Chatgpt in here… anyway I didn’t give up, and many thanks to everyone who helped me😭"
n,"At least one country will ban ChatGPT. Do you think more will follow? 🧠
https://t.co/nDcHOux1Sq #ChatGPT #AI"
n,@Mamba248x Mamba wouldn’t even Ctrl+C Ctrl+V this ChatGPT meme 😩
l,@copyelpadrino ChatGPT
n,"@Daniel_Rubino Very weird. I wouldn't be surprised if Apple ""invents"" AI after the issues are worked out with Bing Chat, ChatGPT, and Bard though."
p,In chatgpt we trust para organizar las ideas.
l,"@selfboots This thread is saved to your Notion database.

Tags: [Chatgpt]"
p,"""Welcome to the age of #ChatGPT, where complex concepts can be explained in simple language. No more superiority in IQ, everyone can understand and learn easily. Let's embrace technology for a more inclusive and accessible world! #SimplifyingComplexity"""
p,More than 90% of teenagers want to learn about artificial intelligence in high school. https://t.co/R0EADW9eE0 can transform your existing content for this new digital age. https://t.co/SLe1b4i4LO
n,"@poof_eth You have the most worthless takes on the internet. No offense, just an observation. You should probably ask ChatGPT for a writing tutorial."
n,"This sort of thing could get problematic very quickly:
https://t.co/pjysWOeLy3"
p,@iBobbyShell Just ask chatgpt to write the script for u bro :)
p,@teedubya So dumb in comparison! Lol 😂 that hack helps a lot and get speechify chrome extension that can auto read chatGPT
l,I’m leading an #AI workshop with our @GeneticsRoswell @RoswellParkPhD next week on the costs/benefits. What the most fun thing you’ve asked #ChatGPT to do? Scariest outcomes? #AcademicChatter #STEMeducation
p,Our latest paper on Document-Level Translation with LLMs is out now! ChatGPT and GPT-4 prove to be promising paradigms for long-text and discourse-aware translation. Read on to explore their capabilities and impact on the field.  #ChatGPT #NLP https://t.co/RiVzvjXG0f
p,"@douglasbarmore Hey there! The package you've been waiting for has arrived!

As a way of showing my appreciation, I'm excited to hand you a free copy of Amazon FBA 101 ChatGPT!

Enjoy the bundle, and have an awesome day!

Much love

https://t.co/qzSapvbNT0"
l,@ayytbet Rizzanthan &gt; Chatgpt
p,@jasonaverbook with some pithy and practical tips on how #hr can get the most out of #GenerativeAI and #chatgpt https://t.co/0ZZbTGnLoj
p,"https://t.co/WTuyL6VszG ‼ First To Market Hard-Coded AI App That Lets You Launch Your Very Own “#ChatGPT-like” AI Chatbot, And Charge People For Using It...https://t.co/WTuyL6VszG ‼ First To Market Hard-Coded AI App That Lets You Launch Your Very Own “ChatGPT-like” AI #Chatbot https://t.co/HLOvqINdWf"
n,"ChatGPT, Raspberry Pi-Powered Furby Plans World Domination https://t.co/FkpKmM9NJn"
l,@copyelpadrino ChatGPT
l,@arankomatsuzaki Follow me and you will find out you already know alot about AI and chatgpt
p,"“How I’d Learn to Code If I Could Start Over (ft. ChatGPT)” by The PyCoach
https://t.co/1rUWahrxV6 https://t.co/54xH63wDm9"
n,It seems to me that we have reached the highest point of overestimation when it comes to ChatGPT and artificial intelligence as a whole. https://t.co/1bVaATkz2q
p,"@SearchH1storian Nice 🙌 I think that'd be super useful!
If we're going with a fake example, maybe ChatGPT could be good to generate something generic? https://t.co/b0I5oQDNgQ"
p,"@JapaneseCrypto With $GPT4, you can be part of the future of #crypto. With its incredible utility and potential, it's the perfect investment for anyone looking to stay ahead of the curve. And with its locked liquidity and renounced contract, you can invest with confidence. Join now @GPT4ERC https://t.co/K5A6F5I4sE"
n,"""Germany could follow in Italy's footsteps by blocking ChatGPT over data security concerns..."" 👇 #readmorehere https://t.co/OS8DDsU2uD"
p,"Mastering #chatgpt3
https://t.co/UjGBG5CPbk"
l,"Using ChatGPT To Control And Leverage Other AI Apps Such As Hugging Face Gets You HuggingGPT, Prompting Eyebrow Raising By AI Ethics And AI Law https://t.co/ZjacHGDLg5"
l,"This just in: The rise of #AI and the recent #bankingcrisis are being felt across the #accounting and #finance professions, and we have you covered with 4️⃣ new #CPE courses designed to keep you informed on the latest and greatest. Learn more here: https://t.co/cN2Ytij2ZL"
n,ChatGPT is making up fake Guardian articles. Here’s how we’re responding | Chris Moran https://t.co/b7Ew5bDDrH
n,"Whom do you sue when ChatGPT les?
https://t.co/v49cZixTRu"
n,Could random mutation and selection on each ChatGPT session improve the AI?
n,@benedictevans Shows just how dangerous and unaligned chatgpt can be.
p,@dylan_squid Ask ChatGpT 🤣
n,Cromier: important reminder of what ChatGPT costs https://t.co/C5u9TiD7sP. #OER23
n,"@GaryMarcus I ask chatGPT to construct a 17-word sentence with the word ""somnolent"" and it always gets the number of words wrong.  It's like a person that has tons of stencils that has fooled everyone into thinking it's an artist."
n,$AI wasn’t the only AI stock to fall yesterday. $BBAI and $SOUN tumbled sharply too. But they have all surged this year thanks to ChatGPT hype. I wrote about the speculative mania in February ICYMI. https://t.co/fOdJt0S8fi
p,ChatGPT is too much fun sometimes... https://t.co/dXJ1GeocgQ
n,"Italy Becomes First Western Country to Ban ChatGPT, What About Other Countries? https://t.co/pfyBp3mJei"
p,WolframAlpha + ChatGPT brings actual computation into the mix. https://t.co/mQUG951uVz
p,"Google have done such a brilliant job of convincing us that the only way to engage with digital content and information is via search. We have now discovered the next path and it’s very different and should not be compared in the same way. Great post @emollick 

#LLMs #ChatGPT… https://t.co/MU9RORQbZW https://t.co/R8F6XYMaYh"
l,@zadyLion Hii ni chatgpt bro?
p,"What a terrible take. Either way, let me debugg this code, or I can just dump it in chatgpt to fix it 🤔"
l,"Had a long conversation with ChatGPT about the future and risks involved with developing AI technologies. If your'e interested, here's an unedited transcript. https://t.co/VqvoDxmdvX"
p,"Computation used to train
notable #ArtificialIntelligence
systems. #GPT4 https://t.co/qkjC9djl08"
l,@jared_spataro @TheEconomist @Microsoft READ👇https://t.co/MHT4NIeHAS
l,"AI’s impact on environment, scientific progress, and jobs: Breaking down Stanford’s AI Index Report 2023 #AI #ArtificialIntelligence #ChatGPT 

https://t.co/gH8vwWaLJv"
l,Final one for now: https://t.co/o7yxotDAeV #NeonGenesisEvangelion #ChatGPT
